timestamps,TP9,AF7,AF8,TP10,Right AUX
45218.46904450,836.08057,714.3956,682.5641,828.8278,689.011
45218.46904450,834.4689,712.7839,662.8205,828.4249,746.2271
45218.46904450,782.49084,721.2454,711.1722,774.43225,811.0989
45218.46904451,754.68866,729.304,747.03296,745.0183,832.8571
45218.46904453,733.3333,722.8571,767.98535,732.9304,722.8571
45218.46904454,692.6374,717.619,757.1062,699.89014,770.40295
45218.46904454,644.2857,720.0366,744.21246,659.59705,847.3626
45218.46904454,618.49817,730.9158,750.65936,627.3626,647.50916
45218.46904455,598.3516,742.1978,754.68866,595.5311,616.8865
45218.46904455,566.52014,745.42126,759.92676,579.011,794.17584
45218.46904455,537.1062,744.21246,753.47986,554.83514,981.13556
45218.46904455,520.18317,744.21246,722.4542,529.45056,796.1905
45218.46904457,536.7033,742.1978,676.1172,547.98535,616.08057
45218.46904458,533.8828,730.5128,662.01465,547.1795,707.5458
45218.46904458,539.5238,712.7839,657.98535,545.16486,736.9597
45218.46904458,577.8022,692.23444,695.4579,586.6667,745.82416
45218.46904459,599.15753,674.90845,770.40295,608.022,634.21246
45218.46904459,620.5128,655.9707,796.1905,630.18317,831.2454
45218.46904459,653.95605,643.47986,814.3223,662.4176,1035.5311
45218.46904459,677.72894,640.2564,836.8865,677.326,833.663
45218.46904459,690.6227,632.6007,830.4396,688.20514,746.2271
45218.46904461,715.6044,637.4359,826.4103,706.7399,821.1722
45218.46904461,734.1392,647.1062,831.2454,714.7985,790.54944
45218.46904461,735.7509,645.89746,820.3663,727.6923,654.7619
45218.46904534,743.4066,635.42126,794.17584,743.8095,701.50183
45218.46904534,759.12085,629.7802,754.68866,755.09155,824.7985
45218.46904535,772.4176,637.4359,713.9927,770.40295,751.06226
45218.46904535,780.4762,643.8828,687.8022,779.67035,646.7033
45218.46904535,784.90845,638.24176,698.2784,786.1172,734.94507
45218.46904536,790.54944,633.8095,701.0989,799.81683,964.21246
45218.46904537,791.3553,643.8828,699.0842,805.8608,967.4359
45218.46904537,797.3993,642.27106,693.8461,802.6374,843.73627
45218.46904538,801.8315,635.0183,674.5055,805.05493,906.99634
45218.46904538,799.81683,638.6447,647.1062,812.71063,1004.90845
45218.46904538,802.23444,652.74725,561.685,811.9048,864.68866
45218.46904538,811.0989,655.9707,483.9194,814.7253,719.2308
45218.46904571,817.9487,652.74725,450.4762,820.7692,819.15753
45218.46904571,815.12823,660.40295,429.92673,817.9487,877.5824
45218.46904571,816.7399,672.8938,412.60074,812.3077,775.2381
45218.46904572,815.5311,678.1319,370.69598,817.1429,709.9634
45218.46904572,816.337,675.31134,340.4762,823.1868,757.9121
45218.46904572,819.15753,672.0879,328.38828,826.0073,821.978
45218.46904572,818.3516,672.0879,349.7436,829.2308,807.0696
45218.46904572,821.5751,676.52014,413.8095,828.022,811.9048
45218.46904572,818.3516,674.5055,453.69965,831.6484,1018.20514
45218.46904573,813.1135,677.326,492.38095,829.6337,1146.7399
45218.46904573,813.91943,693.0403,521.79486,824.7985,877.1795
45218.46904573,811.50183,692.6374,505.27472,827.619,678.93774
45218.46904613,811.9048,681.3553,489.1575,833.2601,892.49084
45218.46904613,813.5165,689.011,506.0806,832.8571,926.7399
45218.46904615,811.9048,697.0696,536.30035,821.5751,680.14655
45218.46904615,810.696,688.20514,547.1795,813.91943,705.12823
45218.46904616,810.293,682.96704,560.4762,811.0989,809.0842
