timestamps,T9,AF7,AF8,TP10,Right AUX
45218.44257090,784.5055,813.5165,950.10986,747.4359,684.57874
45218.44257091,794.57874,815.9341,749.0476,751.8681,815.5311
45218.44257091,794.17584,818.7546,678.5348,757.9121,914.2491
45218.44257093,780.07324,819.15753,934.3956,747.4359,785.7143
45218.44257093,778.86444,817.1429,996.4469,744.21246,729.304
45218.44257093,789.7436,819.5604,805.4579,751.8681,956.55676
45218.44257093,794.57874,822.381,729.707,757.50916,954.94507
45218.44257094,794.17584,822.7839,842.9304,762.74725,839.304
45218.44257094,797.3993,823.9927,973.8828,776.8498,769.59705
45218.44257094,797.8022,827.619,713.5897,780.07324,818.7546
45218.44257095,795.78754,829.2308,629.3773,779.67035,899.7436
45218.44257095,799.81683,825.6044,974.2857,788.93774,680.14655
45218.44257144,798.60803,818.7546,961.39197,795.78754,680.9524
45218.44257145,803.0403,814.7253,894.90845,803.44324,798.20514
45218.44257145,807.0696,816.337,955.34796,805.05493,737.76556
45218.44257146,798.60803,818.3516,995.2381,792.96704,748.24176
45218.44257146,799.41394,819.15753,953.73627,787.326,785.31134
45218.44257147,802.23444,820.7692,777.25275,778.0586,858.6447
45218.44257147,804.2491,823.9927,806.6667,769.19415,945.6777
45218.44257148,806.26373,825.6044,993.6264,766.77655,830.4396
45218.44257148,804.65204,825.6044,918.2784,763.5531,796.1905
45218.44257148,807.47253,824.7985,537.9121,774.0293,1085.4945
45218.44257148,807.8755,820.3663,677.326,770.80585,1014.9817
45218.44257149,809.0842,818.3516,1005.7143,770.80585,744.21246
45218.44257149,811.50183,820.7692,884.0293,781.28204,769.59705
45218.44257150,806.6667,817.5458,782.8938,782.0879,842.1245
45218.44257152,804.2491,815.9341,934.3956,786.52014,780.87915
45218.44257152,808.2784,811.9048,1008.5348,794.17584,669.2674
45218.44257153,814.7253,809.0842,821.5751,793.7729,732.1245
45218.44257153,810.696,812.71063,635.82416,788.5348,880.80585
45218.44257153,802.6374,814.7253,775.64105,786.52014,895.31134
45218.44257153,805.8608,813.1135,971.06226,781.685,846.1539
45218.44257154,807.0696,812.71063,781.685,774.0293,797.8022
45218.44257154,808.68134,815.9341,848.5714,773.6264,779.2674
45218.44257154,812.71063,815.12823,999.2674,776.8498,673.69965
45218.44257155,816.337,814.3223,917.8755,773.6264,650.32965
45218.44257184,819.9634,818.3516,640.65936,778.46155,952.52747
45218.44257184,814.3223,821.5751,678.1319,776.4469,978.315
45218.44257186,816.337,816.7399,985.16486,773.6264,688.20514
45218.44257186,824.3956,811.9048,914.2491,778.46155,655.9707
45218.44257186,833.2601,817.9487,586.26373,792.96704,901.3553
45218.44257186,832.4542,815.9341,606.8132,796.5934,883.22345
45218.44257188,830.4396,814.3223,767.1795,778.46155,735.34796
45218.44257188,829.2308,815.9341,720.4396,770,770.80585
45218.44257188,822.7839,815.5311,514.5421,766.77655,986.3736
45218.44257188,819.5604,817.5458,738.97437,756.7033,902.5641
45218.44257188,816.7399,813.1135,1014.17584,755.09155,720.84247
45218.44257189,818.7546,811.0989,921.0989,762.74725,751.06226
45218.44257223,818.3516,807.8755,933.1868,767.5824,769.19415
45218.44257225,814.3223,805.4579,914.65204,765.9707,777.25275
45218.44257225,819.15753,810.696,921.0989,767.5824,707.1429
45218.44257226,824.3956,815.12823,773.22345,773.22345,780.87915
45218.44257226,812.3077,813.5165,582.6374,774.83514,964.21246
45218.44257227,804.65204,812.71063,776.8498,761.13556,842.52747
45218.44257227,806.6667,811.9048,787.72894,754.2857,751.4652
45218.44257227,803.8461,815.9341,693.8461,763.1502,856.63007
45218.44257228,791.3553,815.9341,852.1978,752.674,764.35895
45218.44257228,783.2967,808.2784,1013.36993,742.1978,648.315
45218.44257228,793.36993,805.8608,949.707,752.674,707.1429
45218.44257228,799.41394,804.2491,670.87915,760.7326,779.67035
45218.44257269,793.7729,805.8608,843.3333,755.89746,781.28204
45218.44257270,786.9231,806.26373,1021.02563,741.39197,705.5311
45218.44257270,787.72894,806.6667,897.72894,742.6007,688.20514
45218.44257271,791.75824,805.8608,592.3077,761.13556,851.39197
45218.44257272,796.1905,807.0696,664.43225,759.92676,775.64105
45218.44257273,800.2198,814.7253,821.1722,754.68866,714.7985
45218.44257273,801.02563,818.7546,724.0659,759.5238,865.89746
45218.44257273,803.8461,820.7692,479.8901,771.2088,1100.403
45218.44257273,805.8608,817.9487,643.8828,778.0586,1046.0073
45218.44257274,808.2784,809.89014,970.2564,779.2674,739.7802
45218.44257274,812.71063,807.47253,881.6117,784.10254,708.3516
45218.44257274,809.0842,803.8461,892.8938,783.69965,735.7509
45218.44257346,807.8755,803.8461,923.1135,784.90845,734.94507
45218.44257347,818.7546,809.4872,876.3736,785.31134,809.0842
45218.44257347,824.7985,810.696,711.978,790.14655,827.619
45218.44257347,817.9487,808.68134,678.1319,792.1612,826.4103
45218.44257348,815.12823,812.3077,915.4579,791.3553,753.8828
45218.44257348,815.5311,812.71063,797.3993,790.9524,686.99634
45218.44257348,809.4872,805.4579,555.2381,796.99634,869.5238
45218.44257350,806.26373,806.26373,587.8755,807.0696,978.315
45218.44257350,807.8755,811.9048,787.326,801.4286,813.91943
45218.44257350,807.0696,813.91943,913.0403,799.81683,738.97437
45218.44257350,799.41394,814.3223,722.4542,801.4286,809.0842
45218.44257351,787.326,807.47253,748.24176,791.3553,751.4652
45218.44257385,786.52014,806.6667,981.13556,779.2674,675.31134
45218.44257385,797.8022,812.71063,910.2198,780.4762,689.81683
45218.44257387,801.4286,813.1135,768.3883,778.0586,712.7839
45218.44257387,800.6227,811.0989,873.95605,773.6264,697.47253
45218.44257388,805.8608,810.696,998.46155,776.4469,713.1868
45218.44257388,817.5458,816.7399,839.707,791.3553,904.57874
45218.44257390,819.15753,819.5604,587.47253,803.0403,1055.2748
45218.44257390,803.8461,813.5165,787.72894,789.7436,884.83514
45218.44257391,794.57874,812.71063,1010.9524,778.86444,728.49817
45218.44257391,798.60803,814.7253,876.77655,789.7436,758.315
45218.44257391,799.011,813.5165,666.04395,800.2198,887.25275
45218.44257392,792.5641,808.2784,783.69965,789.7436,922.71063
45218.44257457,793.7729,806.6667,967.8388,782.8938,779.2674
45218.44257458,804.65204,809.89014,724.0659,797.8022,768.3883
45218.44257458,802.23444,808.2784,485.93405,806.26373,1004.10254
45218.44257459,789.7436,801.4286,814.3223,790.14655,853.00366
45218.44257459,789.34064,796.5934,1002.8938,781.28204,645.89746
45218.44257461,792.96704,801.02563,784.90845,784.10254,816.7399
45218.44257461,792.1612,801.02563,687.8022,783.2967,859.0476
45218.44257461,786.1172,794.9817,901.3553,772.01465,696.26373
45218.44257462,790.14655,798.20514,984.35895,768.3883,671.685
45218.44257462,796.5934,804.2491,736.1539,772.8205,801.02563
45218.44257462,796.1905,802.6374,774.0293,774.43225,792.1612
45218.44257463,796.1905,801.4286,992.01465,777.25275,646.30035
45218.44257503,797.3993,801.8315,930.7692,773.6264,658.3883
45218.44257503,803.0403,802.6374,784.5055,768.3883,779.67035
45218.44257505,805.8608,801.8315,868.315,776.8498,772.01465
45218.44257505,796.99634,797.8022,1005.31134,767.1795,720.84247
45218.44257505,788.5348,796.5934,956.55676,750.65936,785.31134
45218.44257505,794.17584,799.011,579.41394,765.9707,987.98535
45218.44257505,803.0403,803.44324,601.5751,777.6557,882.8205
45218.44257506,809.4872,809.0842,978.71796,772.8205,731.7216
45218.44257507,807.0696,807.0696,909.011,769.59705,797.8022
45218.44257507,798.20514,802.23444,683.36993,765.56775,904.17584
45218.44257507,789.7436,805.4579,875.56775,760.7326,765.9707
45218.44257508,791.3553,806.6667,990.80585,765.56775,651.13556
45218.44257541,794.57874,807.0696,844.94507,775.64105,759.12085
45218.44257541,794.57874,803.44324,683.7729,780.87915,882.8205
45218.44257541,799.41394,794.17584,803.8461,786.52014,816.7399
45218.44257542,805.05493,794.17584,976.30035,793.36993,666.8498
45218.44257542,811.9048,796.99634,740.58606,790.9524,816.337
45218.44257542,805.8608,800.2198,417.43588,777.6557,1152.381
45218.44257542,797.3993,815.12823,640.65936,755.89746,985.16486
45218.44257542,799.011,832.0513,945.6777,747.4359,776.8498
45218.44257543,805.05493,836.8865,694.2491,755.4945,798.60803
45218.44257543,808.2784,833.2601,701.50183,752.674,781.685
45218.44257543,805.05493,827.619,986.77655,745.0183,690.2198
45218.44257543,807.8755,822.7839,925.12823,749.85345,694.2491
45218.44257619,816.337,819.9634,765.56775,752.27106,732.1245
