timestamps,TP9,AF7,AF8,TP10,Right AUX
45211.43667139,742.1978,595.5311,790.14655,785.7143,939.6337
45211.43667140,736.55676,607.2161,752.674,811.50183,930.3663
45211.43667141,734.5421,844.1392,738.97437,834.0659,693.8461
45211.43667141,724.4689,819.15753,743.4066,788.1319,678.93774
45211.43667142,734.5421,670.4762,748.24176,773.6264,808.68134
45211.43667142,746.63007,621.31866,749.0476,802.23444,906.1905
45211.43667142,739.3773,670.87915,750.2564,798.60803,889.67035
45211.43667142,753.47986,778.0586,747.4359,794.57874,792.5641
45211.43667145,755.09155,556.8498,759.5238,799.81683,925.9341
45211.43667145,760.32965,517.3626,761.9414,794.57874,1005.7143
45211.43667145,785.7143,848.5714,753.0769,806.26373,711.978
45211.43667146,786.9231,729.707,758.71796,815.9341,732.52747
45211.43667174,774.83514,637.03296,757.9121,801.02563,791.75824
45211.43667174,792.1612,763.1502,754.68866,802.23444,684.57874
45211.43667174,809.4872,802.6374,758.71796,808.2784,627.76556
45211.43667175,797.3993,679.7436,762.3443,804.65204,637.8388
45211.43667175,793.36993,636.63007,772.01465,800.6227,733.3333
45211.43667175,801.02563,644.68866,778.86444,812.3077,821.5751
45211.43667175,796.1905,664.0293,779.2674,811.9048,810.696
45211.43667176,793.7729,678.1319,778.46155,788.93774,785.31134
45211.43667176,812.71063,464.1758,784.10254,795.78754,969.85345
45211.43667176,804.2491,670.07324,789.7436,801.8315,927.9487
45211.43667177,773.6264,942.8571,782.0879,786.52014,591.50183
45211.43667177,775.2381,651.53845,786.52014,786.52014,765.9707
45211.43667177,780.87915,616.4835,796.1905,789.7436,916.26373
45211.43667177,778.86444,806.26373,786.52014,773.6264,698.68134
45211.43667178,773.6264,756.7033,793.36993,767.5824,771.6117
45211.43667178,764.7619,587.0696,804.2491,764.35895,946.4835
45211.43667179,759.92676,609.6337,803.8461,749.85345,973.0769
45211.43667181,757.9121,753.47986,812.71063,738.97437,814.7253
45211.43667181,745.42126,739.7802,814.3223,724.4689,812.71063
45211.43667181,712.7839,584.65204,813.91943,698.68134,981.13556
45211.43667182,698.2784,582.23444,819.5604,681.3553,1000.07324
45211.43667182,699.89014,901.3553,819.9634,670.87915,731.31866
45211.43667184,686.1905,803.8461,823.5897,670.87915,627.3626
45211.43667185,685.38464,714.3956,827.619,678.1319,722.4542
45211.43667265,707.1429,771.2088,822.7839,669.67035,714.3956
45211.43667266,714.7985,756.30035,828.4249,657.5824,599.15753
45211.43667266,703.1135,694.2491,827.619,668.86444,632.1978
