timestamps,TP9,AF7,AF8,TP10,Right AUX
45218.45379179,812.71063,800.6227,822.381,821.1722,943.663
45218.45379181,811.50183,800.6227,851.39197,820.3663,855.0183
45218.45379182,812.71063,794.9817,854.61536,816.337,707.9487
45218.45379182,818.3516,794.9817,830.84247,819.5604,734.5421
45218.45379183,816.7399,806.26373,830.0366,819.9634,804.65204
45218.45379183,817.5458,802.23444,832.4542,818.7546,853.8095
45218.45379183,821.978,798.20514,833.663,817.1429,799.41394
45218.45379184,816.7399,802.6374,819.15753,814.3223,777.6557
45218.45379184,817.1429,802.6374,823.5897,815.5311,738.5714
45218.45379184,819.9634,803.0403,828.022,809.89014,686.99634
45218.45379185,815.9341,801.8315,814.7253,804.65204,744.21246
45218.45379185,816.337,799.011,797.8022,808.2784,851.39197
45218.45379216,817.9487,797.3993,775.64105,819.15753,1085.8975
45218.45379216,817.9487,800.2198,821.5751,819.9634,957.76556
45218.45379216,809.4872,800.6227,846.9597,807.0696,732.9304
45218.45379218,813.91943,797.8022,823.5897,809.89014,758.315
45218.45379220,814.7253,792.5641,823.9927,813.91943,677.326
45218.45379221,806.26373,788.1319,813.91943,807.0696,656.77655
45218.45379222,801.8315,790.9524,807.8755,800.2198,801.02563
45218.45379223,816.337,792.1612,767.5824,816.337,1004.90845
45218.45379225,844.5421,792.1612,779.67035,845.7509,1017.3993
45218.45379226,826.8132,796.5934,850.58606,826.0073,718.4249
45218.45379227,758.315,797.8022,835.6777,753.47986,633.8095
45218.45379228,724.4689,796.1905,824.3956,719.2308,741.79486
45218.45379230,715.2015,799.81683,832.4542,712.7839,727.28937
45218.45379231,668.46155,797.3993,823.9927,670.07324,641.06226
45218.45379231,615.6777,792.1612,812.3077,617.28937,683.36993
45218.45379233,581.4286,794.17584,819.9634,585.4579,760.7326
45218.45379234,553.6264,791.75824,828.022,564.10254,774.43225
45218.45379236,531.06226,787.72894,826.0073,541.9414,800.6227
45218.45379237,518.5714,788.93774,808.2784,538.71796,870.7326
45218.45379242,522.6007,791.3553,801.8315,547.98535,948.9011
45218.45379243,517.3626,797.3993,855.82416,537.50916,718.4249
45218.45379244,510.51282,796.99634,864.2857,533.47986,706.7399
45218.45379247,538.315,789.34064,826.4103,564.10254,975.09155
45218.45379251,587.0696,786.52014,843.73627,601.5751,1000.4762
45218.45379287,612.0513,790.14655,880.40295,620.9158,716.0073
45218.45379288,637.03296,782.8938,868.315,640.65936,666.04395
45218.45379289,667.6557,776.8498,850.989,672.0879,776.8498
45218.45379291,685.78754,778.86444,874.7619,693.8461,755.89746
45218.45379291,709.15753,784.10254,888.86444,709.9634,672.0879
45218.45379292,734.1392,786.1172,871.9414,738.1685,718.4249
45218.45379292,743.4066,785.31134,853.8095,757.1062,1018.20514
45218.45379293,754.68866,788.93774,891.685,760.7326,894.10254
45218.45379293,767.98535,791.3553,920.293,765.56775,661.2088
45218.45379294,778.46155,788.93774,901.75824,773.6264,747.4359
45218.45379294,784.90845,784.5055,895.7143,785.7143,760.32965
45218.45379295,786.9231,782.8938,898.93774,786.52014,724.0659
45218.45379345,793.7729,784.90845,886.8498,792.96704,716.0073
45218.45379346,799.81683,788.93774,876.3736,801.02563,725.2747
45218.45379346,803.8461,789.34064,888.46155,803.0403,806.6667
45218.45379346,814.7253,789.34064,909.81683,811.50183,772.4176
45218.45379346,821.5751,793.7729,908.20514,813.91943,692.6374
45218.45379347,823.1868,789.34064,885.2381,813.1135,845.34796
45218.45379347,823.5897,788.1319,882.8205,819.9634,989.19415
45218.45379347,817.1429,790.54944,907.3993,823.1868,783.69965
45218.45379347,817.9487,784.90845,906.5934,815.5311,664.43225
45218.45379347,827.2161,786.1172,872.3443,817.5458,821.978
45218.45379347,829.6337,790.9524,868.71796,828.022,937.2161
