timestamps,TP9,AF7,AF8,TP10,Right AUX
45211.46148,794.17584,1062.5275,799.011,779.2674,716.0073
45211.46148,799.011,1155.6044,802.23444,792.1612,686.99634
45211.46148,800.6227,971.06226,803.8461,796.5934,709.15753
45211.46148,804.65204,910.6227,806.26373,798.20514,757.1062
45211.46148,811.50183,1004.90845,811.50183,807.47253,777.25275
45211.46148,809.4872,929.15753,809.89014,811.50183,761.9414
45211.46148,805.8608,697.8755,809.89014,808.68134,966.2271
45211.46148,804.65204,126.11722,809.0842,807.0696,1225.7142
45211.46148,806.26373,476.66666,809.4872,806.26373,911.8315
45211.46148,803.44324,1097.1794,813.1135,809.0842,654.7619
45211.46148,807.47253,653.95605,811.0989,807.47253,832.0513
45211.46148,809.89014,415.42123,803.0403,798.20514,950.9158
45211.46148,808.2784,969.0476,799.81683,799.011,681.75824
45211.46148,806.26373,1044.3956,805.4579,804.65204,579.41394
45211.46148,808.2784,731.31866,809.89014,801.02563,713.5897
45211.46148,806.26373,848.5714,805.8608,798.60803,663.22345
45211.46148,807.8755,988.3883,802.6374,801.4286,579.81683
45211.46148,809.0842,788.93774,804.65204,797.3993,798.20514
45211.46148,799.41394,298.57144,807.0696,796.5934,1153.9927
45211.46148,799.41394,376.73993,807.8755,791.3553,1023.8461
45211.46148,805.8608,1010.54944,809.0842,797.3993,718.8278
45211.46148,807.47253,999.67035,809.89014,802.23444,728.0952
45211.46148,806.26373,843.3333,804.65204,797.8022,772.8205
45211.46148,799.011,908.60803,802.23444,792.5641,696.6667
45211.46148,798.60803,835.6777,805.05493,798.20514,691.4286
45211.46148,798.60803,625.34796,803.44324,803.0403,813.1135
45211.46148,797.3993,374.72528,799.81683,797.8022,962.1978
45211.46148,802.23444,731.7216,802.23444,797.3993,726.08057
45211.46148,798.20514,935.2015,805.8608,799.011,509.70697
45211.46148,798.60803,642.27106,805.4579,809.89014,784.90845
45211.46148,794.57874,465.78754,803.0403,804.2491,1008.93774
45211.46148,794.57874,606.8132,807.0696,791.75824,913.0403
45211.46148,796.99634,708.3516,805.4579,792.5641,720.0366
45211.46148,800.6227,500.03662,800.2198,796.1905,708.7546
45211.46148,809.0842,110,807.0696,795.78754,951.31866
45211.46148,803.0403,707.1429,811.9048,792.5641,773.22345
45211.46148,796.1905,1074.2124,802.6374,796.5934,597.1429
45211.46148,789.34064,786.1172,792.5641,796.1905,730.10986
45211.46148,791.3553,881.2088,784.10254,796.5934,675.7143
45211.46148,801.02563,901.75824,782.0879,796.99634,623.73627
45211.46148,799.011,724.87177,782.8938,790.9524,811.0989
45211.46148,794.9817,467.39926,780.07324,789.34064,1023.8461
45211.46148,795.38464,579.41394,782.49084,787.72894,998.0586
45211.46148,796.5934,971.4652,789.7436,788.1319,818.3516
45211.46148,794.57874,966.63007,792.5641,786.1172,664.43225
45211.46148,796.5934,241.35532,793.7729,786.9231,896.9231
45211.46148,807.8755,223.22345,796.99634,792.5641,994.83514
45211.46148,804.2491,952.1245,797.3993,787.72894,694.65204
45211.46148,808.68134,935.6044,797.3993,794.17584,659.59705
45211.46148,811.0989,813.1135,803.0403,801.02563,732.52747
45211.46148,808.2784,911.02563,801.02563,796.5934,597.9487
45211.46148,812.71063,987.98535,793.7729,804.2491,593.91943
45211.46148,821.5751,861.4652,793.7729,808.2784,721.2454
45211.46148,819.15753,568.93774,796.99634,800.2198,819.5604
45211.46148,810.293,593.91943,797.3993,793.7729,855.82416
45211.46148,813.91943,696.26373,790.9524,793.7729,829.2308
45211.46148,816.7399,577.3993,788.5348,792.96704,942.4542
45211.46148,807.47253,38.68132,792.5641,782.49084,1161.2454
45211.46148,804.2491,72.52747,794.17584,779.67035,1025.0549
45211.46148,807.47253,830.84247,793.36993,785.31134,720.4396
45211.46148,803.0403,911.4286,790.14655,795.78754,705.9341
45211.46148,796.99634,928.3516,793.36993,799.81683,672.8938
45211.46148,793.7729,1103.6263,794.17584,793.36993,589.89014
45211.46148,789.34064,968.6447,789.34064,796.5934,609.6337
45211.46148,784.5055,764.35895,791.3553,799.81683,717.619
45211.46148,783.69965,674.10254,792.96704,795.78754,835.6777
45211.46148,788.93774,704.3223,791.3553,790.14655,772.4176
45211.46148,791.75824,855.0183,792.1612,793.36993,704.7253
45211.46148,786.9231,334.83517,791.3553,803.0403,1010.54944
45211.46148,790.54944,323.95605,794.9817,799.011,1087.5092
45211.46148,800.2198,1012.96704,796.1905,790.9524,703.5165
45211.46148,799.81683,953.73627,791.3553,794.17584,679.34064
45211.46148,795.38464,563.69965,785.31134,790.14655,798.60803
45211.46148,799.011,840.9158,785.31134,790.54944,704.3223
45211.46148,802.23444,1115.7142,793.7729,790.9524,712.7839
45211.46148,805.8608,886.04395,788.1319,793.36993,692.23444
45211.46148,804.2491,769.59705,782.0879,799.81683,671.685
45211.46148,800.6227,691.4286,786.9231,798.60803,740.18317
45211.46148,806.26373,650.7326,792.5641,798.20514,786.52014
45211.46148,816.337,556.4469,797.3993,805.05493,857.03296
45211.46148,813.5165,30.21978,799.81683,805.8608,1143.9194
45211.46148,803.0403,246.99634,802.6374,799.41394,958.97437
45211.46148,803.0403,911.02563,800.6227,800.6227,597.1429
45211.46148,803.44324,830.0366,794.57874,807.0696,813.5165
45211.46148,802.23444,795.38464,793.7729,804.65204,840.5128
45211.46148,822.381,1043.9927,788.5348,810.293,619.707
45211.46148,838.49817,1008.93774,795.38464,827.2161,603.9927
45211.46148,811.9048,548.7912,802.6374,807.0696,740.58606
45211.46148,781.685,609.2308,793.36993,769.19415,728.0952
45211.46148,774.0293,795.38464,787.72894,759.12085,704.3223
45211.46148,764.35895,689.81683,788.1319,763.1502,823.9927
45211.46148,744.61536,312.27106,797.8022,745.42126,1033.5165
