timestamps,TP9,AF7,AF8,TP10,Right AUX
45218.44743300,800.2198,802.23444,890.07324,800.6227,671.685
45218.44743300,801.8315,804.65204,967.03296,795.78754,664.83514
45218.44743301,796.1905,800.2198,841.31866,790.9524,706.337
45218.44743301,796.1905,800.6227,781.685,787.72894,690.2198
45218.44743301,801.4286,803.0403,909.81683,788.1319,664.43225
45218.44743301,801.02563,799.81683,935.2015,790.9524,767.98535
45218.44743302,803.0403,801.8315,705.12823,797.3993,930.3663
45218.44743302,806.26373,803.8461,481.50183,803.8461,1110.8792
45218.44743302,806.6667,804.65204,672.49084,796.5934,920.696
45218.44743302,808.68134,803.44324,851.39197,799.81683,670.87915
45218.44743302,809.4872,799.011,670.87915,811.0989,776.8498
45218.44743302,807.0696,795.38464,660.40295,807.47253,779.2674
45218.44743303,805.4579,795.78754,986.3736,801.8315,644.68866
45218.44743303,806.6667,794.17584,936.0073,803.44324,647.50916
45218.44743303,805.4579,790.14655,782.8938,801.4286,677.326
45218.44743303,805.8608,792.1612,915.05493,800.2198,706.337
45218.44743304,807.47253,794.17584,1010.54944,798.60803,691.8315
45218.44743304,806.6667,793.36993,864.2857,799.011,830.0366
45218.44743306,812.3077,798.20514,577.8022,808.68134,1031.9048
45218.44743307,808.2784,798.60803,668.0586,807.0696,823.9927
45218.44743307,798.20514,793.36993,863.47986,800.6227,676.9231
45218.44743307,799.41394,797.8022,853.4066,804.2491,778.46155
45218.44743308,808.68134,803.8461,742.1978,809.89014,898.5348
45218.44743308,811.0989,801.8315,904.17584,807.47253,761.13556
45218.44743376,807.0696,799.41394,981.53845,797.3993,645.4945
45218.44743376,805.05493,799.41394,836.08057,793.7729,676.9231
45218.44743376,805.4579,800.6227,815.12823,803.44324,689.011
45218.44743376,809.4872,803.44324,948.49817,805.8608,680.54944
45218.44743377,809.0842,801.8315,969.85345,796.1905,679.7436
45218.44743377,807.0696,800.6227,845.34796,794.9817,787.326
45218.44743377,805.05493,798.20514,687.3993,792.5641,834.0659
45218.44743377,806.6667,794.9817,716.0073,789.7436,836.4835
45218.44743378,815.12823,796.99634,723.2601,794.17584,722.8571
45218.44743378,819.15753,799.81683,544.35895,806.26373,839.304
45218.44743378,819.9634,799.81683,441.61172,817.5458,1097.1794
45218.44743378,820.7692,796.99634,817.1429,810.293,795.78754
45218.44743416,822.381,804.2491,962.6007,811.50183,659.59705
45218.44743416,822.7839,803.8461,653.1502,820.3663,794.57874
45218.44743416,821.1722,796.5934,787.326,816.337,742.6007
45218.44743417,816.337,795.38464,1009.7436,810.696,699.0842
45218.44743417,820.7692,791.3553,941.2454,814.3223,728.49817
45218.44743417,827.619,797.3993,736.1539,813.91943,788.93774
45218.44743417,824.7985,801.4286,703.91943,810.696,856.2271
45218.44743418,820.3663,794.57874,946.08057,806.26373,807.8755
45218.44743419,825.2015,799.011,872.3443,809.89014,707.9487
45218.44743420,820.3663,808.2784,516.1539,815.12823,921.50183
45218.44743420,809.4872,801.4286,776.8498,804.2491,869.5238
45218.44743420,816.337,801.4286,1014.9817,799.81683,700.293
45218.44743456,819.15753,803.44324,850.58606,801.02563,786.9231
45218.44743456,810.696,803.0403,718.022,796.1905,813.91943
45218.44743456,808.2784,804.65204,882.4176,795.78754,757.50916
45218.44743457,812.71063,805.4579,1002.0879,801.8315,715.2015
45218.44743457,818.7546,805.4579,796.5934,809.0842,787.72894
45218.44743457,817.1429,801.8315,660.40295,809.0842,917.0696
45218.44743458,811.50183,801.02563,726.8865,806.6667,855.82416
45218.44743458,811.9048,799.81683,768.7912,805.8608,805.05493
45218.44743458,815.9341,796.5934,612.8571,810.293,960.58606
45218.44743458,816.337,800.2198,459.7436,823.1868,1191.4652
45218.44743459,808.68134,802.23444,801.8315,813.91943,977.9121
45218.44743459,810.293,801.4286,979.92676,809.89014,736.55676
45218.44743531,810.293,802.23444,808.68134,814.7253,715.2015
45218.44743531,809.4872,798.60803,901.3553,815.9341,666.04395
45218.44743531,813.91943,794.57874,998.0586,820.3663,653.5531
45218.44743532,815.5311,796.1905,919.89014,818.7546,719.6337
45218.44743532,810.696,797.8022,764.35895,813.91943,858.6447
45218.44743532,806.26373,799.41394,753.8828,811.0989,825.6044
45218.44743532,803.0403,800.2198,794.57874,807.0696,807.8755
45218.44743532,804.65204,796.5934,754.68866,802.23444,776.04395
45218.44743534,806.6667,795.78754,510.91574,805.8608,942.0513
45218.44743534,804.2491,795.38464,714.7985,801.8315,871.53845
45218.44743535,803.44324,795.38464,1000.4762,798.60803,678.5348
45218.44743535,802.23444,796.1905,895.31134,801.8315,680.9524
