timestamps,TP9,AF7,AF8,TP10,Right AUX
45211.429090278,816.337,890.87915,801.4286,799.41394,631.79486
45211.429090278,820.7692,840.9158,807.47253,808.68134,639.45056
45211.429090289,817.9487,801.4286,820.3663,813.1135,675.31134
45211.429090289,813.1135,823.5897,819.15753,813.91943,660
45211.429090301,808.2784,838.9011,814.3223,813.5165,708.7546
45211.429090301,802.23444,767.1795,823.1868,815.9341,817.9487
45211.429090313,808.2784,744.21246,825.2015,817.1429,1061.3187
45211.429090336,825.2015,868.71796,809.0842,812.71063,944.4689
45211.429090347,838.0952,904.57874,777.25275,810.696,742.1978
45211.429090370,823.1868,794.9817,781.28204,814.3223,902.96704
45211.429090382,794.9817,737.3626,812.71063,805.8608,971.4652
45211.429090394,799.81683,848.5714,821.5751,799.41394,840.5128
45211.429090475,813.91943,883.6264,811.0989,807.8755,691.8315
45211.429090486,808.2784,772.8205,801.8315,808.68134,828.8278
45211.429090544,808.68134,790.54944,812.71063,813.91943,926.7399
45211.429090556,821.5751,896.9231,813.91943,814.7253,758.315
45211.429090579,821.1722,853.00366,808.68134,813.5165,760.32965
45211.429090590,811.50183,788.1319,819.15753,820.3663,922.3077
45211.429090613,819.15753,803.8461,826.0073,821.978,959.7802
45211.429090625,839.707,830.84247,821.978,817.5458,874.35895
45211.429090637,842.1245,840.10986,817.1429,817.1429,769.19415
45211.429090660,818.7546,777.6557,818.7546,819.5604,918.2784
45211.429090671,809.0842,802.6374,810.293,811.50183,1132.2344
45211.429090683,827.2161,938.022,799.41394,796.1905,835.2747
45211.429090718,829.2308,869.92676,811.0989,806.6667,730.10986
45211.429090729,826.8132,813.5165,818.7546,826.4103,817.9487
45211.429090752,840.9158,855.0183,800.6227,832.0513,788.5348
45211.429090764,836.08057,855.42126,793.7729,815.9341,720.84247
45211.429090776,828.022,798.60803,807.0696,811.9048,744.61536
45211.429090787,826.4103,791.75824,815.12823,819.9634,905.38464
45211.429090810,821.1722,841.31866,814.3223,817.1429,974.2857
45211.429090822,830.84247,873.1502,812.71063,819.5604,824.7985
45211.429090833,834.4689,821.1722,812.3077,826.8132,792.5641
45211.429090833,828.4249,775.64105,807.0696,823.5897,997.25275
45211.429090833,829.6337,890.87915,790.9524,802.23444,813.5165
