timestamps,TP9,AF7,AF8,TP10,Right AUX
4521145.611,795.78754,628.1685,805.05493,828.022,689.011
4521145.611,798.60803,511.3187,803.0403,825.2015,826.4103
4521145.611,793.7729,751.8681,808.2784,823.1868,747.03296
4521145.611,788.1319,846.9597,807.47253,820.3663,627.76556
4521145.611,788.93774,616.08057,802.6374,833.2601,809.89014
4521145.611,788.1319,387.61905,800.6227,838.49817,1030.6959
4521145.611,786.9231,471.42856,799.011,830.0366,918.2784
4521145.611,793.7729,691.8315,802.23444,834.4689,732.9304
4521145.611,795.38464,446.84982,807.0696,833.663,814.7253
4521145.611,792.1612,87.4359,806.26373,830.84247,1008.1319
4521145.611,792.96704,404.5421,807.47253,830.4396,807.0696
4521145.611,796.1905,737.76556,807.8755,830.84247,690.6227
4521145.611,794.17584,387.21613,803.0403,840.10986,861.4652
4521145.611,796.5934,439.19415,805.4579,838.0952,840.10986
4521145.611,804.2491,898.1319,803.8461,824.7985,649.12085
4521145.611,795.78754,700.293,800.6227,817.5458,719.2308
4521145.611,795.78754,273.99268,803.8461,821.5751,922.3077
4521145.611,807.0696,371.0989,805.8608,825.6044,876.77655
4521145.611,809.0842,550,803.8461,820.7692,778.86444
4521145.611,802.23444,466.99634,802.6374,812.71063,733.73627
4521145.611,800.6227,128.5348,801.02563,813.5165,1000.07324
4521145.611,799.41394,469.81686,800.2198,808.68134,912.6374
4521145.611,794.57874,930.7692,801.4286,805.8608,659.19415
4521145.611,795.38464,783.69965,797.8022,817.1429,719.2308
4521145.611,783.2967,652.3443,797.3993,815.9341,701.0989
4521145.611,782.49084,793.36993,796.5934,806.6667,670.07324
4521145.611,790.9524,869.5238,799.011,805.05493,693.8461
4521145.611,790.14655,682.5641,795.78754,804.2491,747.8388
4521145.611,791.75824,614.4689,793.36993,799.011,732.1245
4521145.611,793.7729,542.74725,796.99634,799.011,743.4066
4521145.611,791.3553,504.46887,797.8022,800.2198,821.5751
4521145.611,786.1172,299.7802,796.5934,803.8461,988.3883
4521145.611,782.8938,23.772894,800.2198,802.6374,1176.1538
4521145.611,789.7436,489.1575,804.2491,799.81683,967.8388
4521145.611,786.52014,661.2088,800.2198,796.99634,880.80585
4521145.611,784.10254,304.21246,795.38464,796.1905,950.10986
4521145.611,792.5641,459.7436,794.57874,796.1905,808.2784
4521145.611,790.14655,865.89746,795.38464,790.14655,628.5714
4521145.611,786.1172,818.3516,796.99634,792.5641,688.60803
4521145.611,784.90845,578.60803,794.57874,799.011,757.50916
4521145.611,787.326,663.22345,794.9817,802.23444,683.36993
4521145.611,786.52014,645.09155,797.3993,794.57874,689.011
4521145.611,788.93774,464.1758,801.02563,802.23444,897.72894
4521145.611,790.54944,152.71062,801.02563,814.3223,1157.2161
4521145.611,794.57874,373.51648,805.8608,801.8315,895.7143
4521145.611,797.8022,641.4652,804.2491,798.60803,683.36993
4521145.611,800.6227,518.5714,798.20514,806.26373,805.8608
4521145.611,799.81683,184.94505,798.20514,807.0696,928.7546
4521145.611,798.20514,560.87915,798.60803,794.17584,761.9414
4521145.611,801.4286,875.9707,794.9817,782.8938,574.9817
4521145.611,805.05493,609.6337,797.8022,779.67035,593.1135
4521145.611,799.011,695.8608,802.6374,780.4762,688.20514
4521145.611,801.8315,838.0952,798.60803,789.7436,702.71063
4521145.611,805.8608,629.3773,794.9817,792.5641,767.5824
4521145.611,794.57874,308.64468,794.9817,792.5641,1052.4542
4521145.611,796.99634,168.82784,799.011,800.2198,1156.8132
4521145.611,799.41394,657.5824,799.011,794.17584,762.74725
4521145.611,794.57874,839.304,795.38464,791.75824,687.3993
4521145.611,797.3993,364.24908,793.36993,795.78754,950.9158
4521145.611,801.02563,295.348,796.5934,784.90845,896.52014
4521145.611,801.02563,707.5458,799.011,777.25275,731.7216
4521145.611,794.57874,865.09155,796.1905,779.2674,762.74725
4521145.611,792.1612,470.2198,791.75824,775.2381,930.3663
4521145.611,793.7729,555.64105,793.36993,764.35895,776.8498
4521145.611,790.14655,859.85345,796.1905,759.92676,618.9011
4521145.611,792.5641,599.15753,799.011,765.9707,832.8571
4521145.611,792.96704,149.08424,796.1905,772.01465,1148.3517
4521145.611,795.38464,472.63736,796.1905,770,913.8461
4521145.611,799.81683,830.0366,797.3993,770.40295,576.1905
4521145.611,795.78754,699.4872,797.3993,773.22345,686.5934
4521145.611,791.75824,610.0366,795.38464,766.77655,767.98535
4521145.611,795.38464,720.84247,789.34064,752.27106,638.6447
4521145.611,798.60803,827.2161,790.14655,757.1062,621.31866
4521145.611,798.20514,622.1245,790.9524,762.74725,699.89014
4521145.611,800.2198,391.64835,791.75824,761.9414,811.0989
4521145.611,794.57874,574.57874,795.38464,755.09155,740.58606
4521145.611,793.36993,768.7912,799.41394,751.4652,608.4249
4521145.611,792.96704,411.79486,796.1905,761.53845,862.674
4521145.611,792.1612,8.864469,791.75824,767.1795,1240.2197
4521145.611,797.3993,469.81686,792.5641,748.6447,898.93774
4521145.611,801.4286,818.3516,786.52014,744.21246,622.52747
4521145.611,806.6667,421.4652,788.93774,757.50916,729.304
4521145.611,805.4579,280.43958,790.14655,754.2857,746.63007
4521145.611,797.8022,603.5897,786.1172,752.27106,685.78754
4521145.611,801.4286,686.99634,786.1172,754.68866,722.0513
4521145.611,801.4286,222.41759,786.52014,756.30035,894.5055
4521145.611,797.8022,318.31503,789.34064,751.4652,846.55676
4521145.611,795.78754,691.4286,788.93774,743.00366,641.06226
4521145.611,803.44324,526.2271,788.1319,752.27106,657.5824
4521145.611,804.65204,248.60806,792.1612,760.32965,890.4762
4521145.611,793.7729,252.23444,794.9817,753.8828,922.71063
4521145.611,794.17584,412.60074,792.1612,748.6447,762.74725
4521145.611,801.02563,486.337,789.7436,748.6447,734.1392
4521145.611,805.4579,105.970695,787.326,756.7033,999.67035
