timestamps,TP9,AF7,AF8,TP10,Right AUX
1533222560,833.2601,807.47253,811.0989,906.1905,1151.1721
1533222560,803.8461,809.4872,807.0696,870.7326,1066.9597
1533222560,771.2088,807.47253,803.0403,763.5531,733.3333
1533222560,761.9414,802.23444,799.011,678.5348,481.0989
1533222560,808.68134,804.2491,799.81683,759.5238,565.31134
1533222560,838.9011,807.0696,796.99634,884.43225,891.685
1533222560,813.1135,804.2491,790.9524,884.83514,1023.44324
1533222560,776.4469,794.17584,786.1172,785.31134,917.47253
1533222560,764.7619,793.7729,795.78754,681.3553,570.9524
1533222560,813.1135,796.99634,804.2491,748.24176,589.89014
1533222560,849.7802,803.0403,811.0989,882.01465,1009.7436
1533222560,832.4542,807.0696,812.71063,905.78754,1305.0916
1533222560,803.0403,802.6374,802.6374,817.9487,1119.3407
1533222560,782.49084,793.7729,802.6374,701.50183,528.6447
1533222560,817.9487,800.2198,808.68134,738.97437,416.2271
1533222560,844.5421,809.0842,810.696,876.77655,771.6117
1533222560,823.9927,801.4286,808.2784,909.011,948.49817
1533222560,795.38464,807.8755,801.8315,824.7985,840.5128
1533222560,766.77655,815.5311,798.20514,704.3223,520.18317
1533222560,786.52014,806.26373,800.6227,718.4249,398.9011
1533222560,831.2454,804.65204,805.05493,860.2564,714.3956
1533222560,815.5311,806.6667,800.6227,908.60803,1010.9524
1533222560,777.6557,791.75824,797.8022,838.9011,1079.8535
1533222560,757.9121,791.3553,792.1612,722.0513,1002.49084
1533222560,779.67035,806.6667,788.5348,706.7399,589.0842
1533222560,823.9927,802.6374,798.20514,842.9304,692.6374
1533222560,819.15753,788.5348,809.0842,915.05493,1087.5092
1533222560,781.28204,794.57874,810.293,855.42126,983.1502
1533222560,759.92676,801.02563,799.011,733.3333,566.1172
1533222560,780.4762,793.36993,797.8022,701.9048,366.66666
1533222560,829.6337,803.8461,797.8022,830.4396,685.78754
1533222560,836.08057,815.9341,797.8022,913.8461,976.7033
1533222560,807.0696,821.1722,808.68134,871.13556,952.52747
1533222560,779.2674,805.8608,805.8608,758.71796,840.10986
1533222560,783.2967,792.96704,794.17584,705.5311,782.49084
1533222560,832.0513,812.3077,790.14655,818.3516,778.46155
1533222560,844.5421,813.5165,786.52014,906.5934,950.5128
1533222560,809.0842,804.2491,792.96704,873.95605,1044.7986
1533222560,769.19415,805.8608,800.2198,757.1062,819.15753
1533222560,771.2088,802.23444,800.6227,676.52014,493.58975
1533222560,826.0073,802.23444,804.65204,781.685,575.78754
1533222560,838.9011,814.3223,804.65204,898.93774,980.32965
1533222560,799.81683,811.0989,799.81683,876.3736,1129.8169
1533222560,763.5531,793.36993,795.78754,770.80585,755.89746
1533222560,759.92676,787.326,793.7729,687.8022,379.1575
1533222560,807.8755,798.20514,799.011,778.0586,622.1245
1533222560,831.6484,802.6374,807.47253,912.23444,1059.3041
1533222560,809.0842,803.8461,802.23444,911.02563,1107.6556
1533222560,780.07324,808.2784,800.2198,813.1135,834.87177
1533222560,772.4176,807.8755,801.4286,716.4103,567.326
1533222560,813.5165,805.8608,805.8608,779.67035,658.3883
1533222560,845.34796,805.4579,800.2198,912.23444,876.77655
1533222560,826.8132,802.23444,790.54944,915.8608,995.64105
1533222560,794.17584,802.6374,802.23444,817.9487,954.5421
1533222560,775.64105,807.0696,807.47253,703.5165,528.6447
