timestamps,TP9,AF7,AF8,TP10,Right AUX
1533222560,845.34796,795.78754,794.57874,821.5751,839.707
1533222560,887.6557,799.81683,799.41394,834.87177,952.1245
1533222560,820.7692,800.2198,801.8315,807.8755,845.7509
1533222560,721.2454,797.3993,799.011,769.19415,675.7143
1533222560,702.3077,790.9524,797.3993,762.3443,632.1978
1533222560,824.7985,796.5934,799.41394,809.4872,843.73627
1533222560,888.86444,803.8461,806.6667,835.6777,995.64105
1533222560,832.0513,805.05493,804.65204,813.5165,832.0513
1533222560,734.5421,796.1905,796.5934,779.2674,659.19415
1533222560,697.47253,788.5348,796.1905,772.4176,795.78754
1533222560,809.4872,796.5934,796.5934,814.3223,887.25275
1533222560,888.46155,799.011,794.9817,835.2747,814.7253
1533222560,848.97437,796.99634,794.57874,816.337,829.2308
1533222560,757.9121,796.5934,792.1612,782.49084,765.9707
1533222560,701.9048,791.75824,787.72894,762.74725,665.2381
1533222560,801.4286,795.78754,788.1319,805.05493,746.2271
1533222560,897.72894,800.2198,795.78754,840.5128,898.1319
1533222560,863.47986,797.3993,799.011,824.7985,1083.4799
1533222560,770,791.75824,796.1905,789.34064,888.0586
1533222560,702.3077,790.14655,794.9817,765.56775,596.7399
1533222560,781.685,792.96704,796.1905,799.41394,720.0366
1533222560,880.80585,794.17584,796.1905,837.6923,1000.07324
1533222560,858.24176,796.99634,800.2198,827.619,889.67035
1533222560,771.2088,788.1319,801.4286,799.011,716.0073
1533222560,690.6227,781.28204,795.38464,768.7912,670.87915
1533222560,754.2857,791.75824,790.54944,788.1319,701.9048
1533222560,873.95605,796.5934,789.7436,828.4249,796.99634
1533222560,869.92676,798.20514,790.14655,820.7692,814.7253
1533222560,790.14655,800.2198,791.75824,790.14655,817.1429
1533222560,710.3663,795.38464,794.9817,764.7619,796.1905
1533222560,755.09155,794.9817,796.1905,782.8938,811.0989
1533222560,878.3883,802.23444,800.6227,832.4542,954.1392
1533222560,884.83514,803.0403,805.4579,836.08057,1083.0769
1533222560,804.2491,800.2198,806.26373,808.68134,1075.4213
1533222560,717.2161,799.41394,806.6667,781.28204,744.21246
1533222560,745.0183,799.41394,807.0696,789.34064,644.68866
1533222560,869.5238,803.8461,809.89014,829.6337,829.2308
1533222560,888.46155,805.05493,811.50183,832.0513,846.9597
1533222560,814.7253,802.23444,808.2784,804.65204,743.00366
1533222560,716.8132,793.7729,801.4286,772.8205,645.4945
1533222560,719.6337,790.54944,802.6374,776.04395,671.685
1533222560,852.6007,795.78754,805.8608,823.5897,848.5714
1533222560,895.7143,801.4286,805.4579,832.8571,890.07324
1533222560,829.2308,801.8315,800.2198,802.6374,819.15753
1533222560,735.7509,793.36993,796.99634,774.0293,913.44324
1533222560,719.2308,793.36993,798.20514,766.77655,813.91943
1533222560,837.28937,799.81683,801.4286,806.26373,710.3663
1533222560,889.2674,796.99634,799.41394,825.6044,849.7802
1533222560,824.7985,795.78754,797.3993,801.4286,886.8498
1533222560,728.9011,793.7729,799.011,765.16486,706.337
1533222560,696.26373,791.3553,798.60803,757.1062,668.86444
1533222560,808.2784,799.81683,800.2198,803.44324,836.8865
1533222560,877.5824,803.44324,800.2198,829.2308,886.04395
1533222560,828.8278,796.1905,799.81683,807.8755,892.0879
1533222560,739.7802,788.93774,796.99634,774.43225,847.3626
1533222560,696.26373,784.10254,792.5641,761.13556,838.0952
